,fov,cell_ID,cell,x_local_px,y_local_px,x_global_px,y_global_px,z,target,CellComp
33415629,60,0,c_1_60_0,3071,1000,54541.5440194696,7512.07125203685,1,PRSS1,
33415630,60,0,c_1_60_0,3088,1000,54558.5432019617,7512.07125203685,2,GRK2,
33415631,60,0,c_1_60_0,3085,1001,54555.5421802391,7511.07124182612,1,CPB1,
33415632,60,0,c_1_60_0,3085,1001,54555.5421802391,7511.07124182612,2,CPB1,
33415633,60,0,c_1_60_0,3084,1002,54554.5431611187,7510.07123161538,4,RPS18,
33415634,60,0,c_1_60_0,3088,1002,54558.5432019617,7510.07123161538,1,PRSS1,
33415635,60,0,c_1_60_0,3080,1003,54550.5431202758,7509.07122140465,5,CCNG2,
33415636,60,0,c_1_60_0,3082,1004,54552.545122878,7508.07121119391,1,LACTB2,
33415637,60,0,c_1_60_0,3082,1004,54552.545122878,7508.07121119391,2,LACTB2,
33415638,60,0,c_1_60_0,3084,1004,54554.5431611187,7508.07121119391,4,RPS18,
33415639,60,0,c_1_60_0,3084,1005,54554.5431611187,7507.07120098318,2,FKBP4,
33415640,60,0,c_1_60_0,3087,1005,54557.5441828413,7507.07120098318,2,RPL18,
33415641,60,0,c_1_60_0,3084,1006,54554.5431611187,7506.07119077245,1,FKBP4,
33415642,60,0,c_1_60_0,3087,1006,54557.5441828413,7506.07119077245,1,RPL18,
33415643,60,0,c_1_60_0,3086,1009,54556.545163721,7503.07116014024,2,RAB35,
33415644,60,0,c_1_60_0,3090,1009,54560.5452045639,7503.07116014024,3,WNT10A,
33415645,60,0,c_1_60_0,3081,1010,54551.5421393961,7502.07114992951,4,KRBA2,
33415646,60,0,c_1_60_0,3080,1011,54550.5431202758,7501.07113971878,1,TCEANC2,
33415647,60,0,c_1_60_0,3081,1011,54551.5421393961,7501.07113971878,0,TCEANC2,
33415648,60,0,c_1_60_0,3087,1013,54557.5441828413,7499.07111929731,2,SCAND1,
33415649,60,0,c_1_60_0,3095,1013,54565.5442645272,7499.07111929731,4,RNF170,
33415650,60,0,c_1_60_0,3080,1015,54550.5431202758,7497.07109887584,3,VEGFD,
33415651,60,0,c_1_60_0,3081,1016,54551.5421393961,7496.07108866511,1,RPS6,
33415652,60,0,c_1_60_0,3081,1016,54551.5421393961,7496.07108866511,2,RPS6,
33415653,60,0,c_1_60_0,3081,1018,54551.5421393961,7494.07106824364,0,SLAIN1,
33415654,60,0,c_1_60_0,3081,1018,54551.5421393961,7494.07106824364,1,SLAIN1,
33415655,60,0,c_1_60_0,3090,1018,54560.5452045639,7494.07106824364,2,CPB1,
33415656,60,0,c_1_60_0,3097,1020,54567.5423027679,7492.07154336737,4,AMY1C,
33415657,60,0,c_1_60_0,3098,1022,54568.5452862498,7490.0715229459,6,PRSS1,
33415658,60,0,c_1_60_0,3098,1022,54568.5452862498,7490.0715229459,5,SNORC,
33415659,60,0,c_1_60_0,3095,1023,54565.5442645272,7489.07151273517,4,CELA3B,
33415660,60,0,c_1_60_0,3094,1024,54564.5452454069,7488.07150252443,3,CELA3B,
33415661,60,0,c_1_60_0,3097,1024,54567.5423027679,7488.07150252443,6,PRSS3,
33415662,60,0,c_1_60_0,3099,1026,54569.5443053701,7486.07148210296,5,CPAMD8,
33415663,60,0,c_1_60_0,3089,1027,54559.542221082,7485.07147189223,7,RSPH3,
33415664,60,0,c_1_60_0,3093,1027,54563.5422619249,7485.07147189223,3,CPA1,
33415665,60,0,c_1_60_0,3098,1027,54568.5452862498,7485.07147189223,6,SEMA4B,
33415666,60,0,c_1_60_0,3098,1028,54568.5452862498,7484.0714616815,6,PPP1CA,
33415667,60,0,c_1_60_0,3091,1029,54561.5442236843,7483.07145147076,3,CPAMD8,
33415668,60,0,c_1_60_0,3093,1029,54563.5422619249,7483.07145147076,2,VIM,
33415669,60,0,c_1_60_0,3097,1029,54567.5423027679,7483.07145147076,7,PPP1CA,
33415670,60,0,c_1_60_0,3081,1032,54551.5421393961,7480.07142083856,2,RSL1D1,
33415671,60,0,c_1_60_0,3096,1032,54566.5432836475,7480.07142083856,3,CLPS,
33415672,60,0,c_1_60_0,3096,1032,54566.5432836475,7480.07142083856,4,CLPS,
33415673,60,0,c_1_60_0,3097,1032,54567.5423027679,7480.07142083856,5,MLLT11,
33415674,60,0,c_1_60_0,3081,1033,54551.5421393961,7479.07141062783,3,SLC39A14,
33415675,60,0,c_1_60_0,3083,1033,54553.5441419984,7479.07141062783,0,CELA3A,
33415676,60,0,c_1_60_0,3086,1033,54556.545163721,7479.07141062783,4,MYL9,
33415677,60,0,c_1_60_0,3086,1033,54556.545163721,7479.07141062783,0,TNFRSF13C,
33415678,60,0,c_1_60_0,3086,1033,54556.545163721,7479.07141062783,1,TNFRSF13C,
33415679,60,0,c_1_60_0,3088,1033,54558.5432019617,7479.07141062783,7,CCDC187,
33415680,60,0,c_1_60_0,3089,1033,54559.542221082,7479.07141062783,2,TMPRSS11E,
33415681,60,0,c_1_60_0,3093,1033,54563.5422619249,7479.07141062783,2,CTRB1,
33415682,60,0,c_1_60_0,3097,1033,54567.5423027679,7479.07141062783,6,MLLT11,
33415683,60,0,c_1_60_0,3097,1033,54567.5423027679,7479.07141062783,7,MLLT11,
33415684,60,0,c_1_60_0,3086,1034,54556.545163721,7478.07140041709,3,MYL9,
33415685,60,0,c_1_60_0,3088,1034,54558.5432019617,7478.07140041709,1,CPA1,
33415686,60,0,c_1_60_0,3088,1035,54558.5432019617,7477.07139020636,1,CPA1,
33415687,60,0,c_1_60_0,3088,1035,54558.5432019617,7477.07139020636,0,CTRB1,
33415688,60,0,c_1_60_0,3092,1035,54562.5432428046,7477.07139020636,0,CPAMD8,
33415689,60,0,c_1_60_0,3097,1035,54567.5423027679,7477.07139020636,6,PLA2G1B,
33415690,60,0,c_1_60_0,3089,1036,54559.542221082,7476.07137999562,1,CTRB1,
33415691,60,0,c_1_60_0,3092,1036,54562.5432428046,7476.07137999562,2,RPLP0,
33415692,60,0,c_1_60_0,3086,1037,54556.545163721,7475.07136978489,5,EPC2,
33415693,60,0,c_1_60_0,3095,1037,54565.5442645272,7475.07136978489,4,CELA3B,
